"id","year","month","weekday","time_period","death","injuries","neighbourhood","longitude","latitude"
1874,2012,"January","Thursday","Evening",0,0,"Mount Olive-Silverstone-Jamestown",-79.5826146721,43.7339676789
1875,2012,"January","Friday","Evening",0,0,"Malvern East",-79.2124394688,43.8007442937
1877,2012,"January","Friday","Night",0,0,"Oakdale-Beverley Heights",-79.5089706444,43.7223819464
1879,2012,"January","Saturday","Evening",0,0,"Malvern East",-79.2124394688,43.8007442937
1881,2012,"January","Tuesday","Afternoon",0,0,"Mount Olive-Silverstone-Jamestown",-79.5837975725,43.7468096778
1882,2012,"February","Wednesday","Evening",0,2,"Mount Olive-Silverstone-Jamestown",-79.5837862722,43.7324532775
1887,2012,"February","Wednesday","Afternoon",0,1,"York University Heights",-79.499993016,43.7610581743
1888,2012,"February","Thursday","Afternoon",0,1,"Elms-Old Rexdale",-79.5493287722,43.727296229
1889,2012,"February","Thursday","Night",0,0,"Elms-Old Rexdale",-79.5493287722,43.727296229
1890,2012,"February","Friday","Afternoon",0,1,"Golfdale-Cedarbrae-Woburn",-79.2158262582,43.7618470034
1891,2012,"February","Saturday","Morning",0,0,"Kingsview Village-The Westway",-79.5521509564,43.6957896768
1892,2012,"February","Thursday","Evening",0,1,"NSA",0,0
1893,2012,"February","Saturday","Night",0,0,"York University Heights",-79.5040038105,43.7677731797
1894,2012,"February","Sunday","Afternoon",0,1,"Elms-Old Rexdale",-79.5493287722,43.727296229
1896,2012,"February","Tuesday","Evening",0,0,"Kingsview Village-The Westway",-79.5544643629,43.6937840843
1897,2012,"February","Thursday","Evening",0,0,"West Humber-Clairville",-79.5804300584,43.6709819124
1899,2012,"March","Sunday","Night",0,0,"Weston",-79.5113086557,43.6983790656
1901,2012,"March","Tuesday","Evening",0,0,"Englemount-Lawrence",-79.4438748418,43.7194906566
1902,2012,"March","Tuesday","Night",0,0,"York University Heights",-79.4910422999,43.7634971561
1903,2012,"March","Wednesday","Evening",0,0,"Englemount-Lawrence",-79.4435353439,43.7228278555
